parity_id,reference_observation,rebuilt_result,evidence,reviewer,date,status
P01,,,,,,Not run
P02,,,,,,Not run
P03,,,,,,Not run
P04,,,,,,Not run
P05,,,,,,Not run
P06,,,,,,Not run
P07,,,,,,Not run
P08,,,,,,Not run
P09,,,,,,Not run
P10,,,,,,Not run
P11,,,,,,Not run
P12,,,,,,Not run
P13,,,,,,Not run
P14,,,,,,Not run
P15,,,,,,Not run
P16,,,,,,Not run
P17,,,,,,Not run
P18,,,,,,Not run
P19,,,,,,Not run
P20,,,,,,Not run
P21,,,,,,Not run
P22,,,,,,Not run
P23,,,,,,Not run
P24,,,,,,Not run
