item,location,current_owner,recipient,access_verified,received_date,notes
Repository and final tag,TBD,TBD,TBD,No,,
Release artifact,TBD,TBD,TBD,No,,
Student guide,TBD,TBD,TBD,No,,
Admin maintenance guide,TBD,TBD,TBD,No,,
Curriculum source register,TBD,TBD,TBD,No,,
Hosting and deployment,TBD,TBD,TBD,No,,
Database backup and restore,TBD,TBD,TBD,No,,
Design assets,TBD,TBD,TBD,No,,
Open issues/backlog,TBD,TBD,TBD,No,,
Six individual declarations,TBD,TBD,TBD,No,,
Client acceptance evidence,TBD,TBD,TBD,No,,
